Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
2,7574516,40,10,single,rented,no,Software_Developer,Parbhani,Maharashtra,9,13,0
6,6915937,64,0,single,rented,no,Civil_servant,Jalgaon,Maharashtra,0,12,0
18,3666346,56,12,single,rented,no,Politician,Bhusawal,Maharashtra,12,11,1
37,9625415,77,15,married,rented,no,Secretary,Amravati,Maharashtra,9,10,0
73,2408148,59,10,single,rented,no,Architect,Solapur,Maharashtra,7,11,0
81,7839236,68,7,single,rented,no,Biomedical_Engineer,Amravati,Maharashtra,7,14,1
85,4700701,48,14,single,rented,yes,Secretary,Ulhasnagar,Maharashtra,12,12,0
100,6275695,66,10,single,rented,no,Architect,Ambarnath,Maharashtra,10,11,1
104,9334042,52,10,single,rented,yes,Economist,Malegaon,Maharashtra,5,11,0
110,6501716,37,5,single,rented,no,Civil_servant,Nagpur,Maharashtra,5,13,0
128,8753042,74,12,married,rented,no,Computer_operator,Bhiwandi,Maharashtra,9,12,0
131,7187813,47,2,single,rented,no,Flight_attendant,Parbhani,Maharashtra,2,13,1
132,5644262,60,7,single,rented,no,Engineer,Kalyan-Dombivli,Maharashtra,3,11,1
136,2015341,47,6,single,rented,no,Graphic_Designer,Panvel,Maharashtra,6,13,0
144,4995211,68,9,single,rented,no,Firefighter,Akola,Maharashtra,9,11,0
147,2506726,54,11,single,rented,no,Designer,Jalna,Maharashtra,6,14,0
154,8195887,79,16,single,rented,no,Chef,Ichalkaranji,Maharashtra,14,13,1
165,1856689,46,5,single,rented,yes,Air_traffic_controller,Amravati,Maharashtra,5,12,1
181,9226716,55,3,single,rented,no,Graphic_Designer,Aurangabad,Maharashtra,3,11,0
189,5653642,42,3,single,rented,no,Civil_engineer,Mumbai,Maharashtra,3,11,1
196,2028733,38,4,single,rented,yes,Architect,Nashik,Maharashtra,4,11,0
225,6668221,66,20,single,rented,no,Industrial_Engineer,Ambarnath,Maharashtra,11,11,1
230,665309,69,11,single,rented,no,Hotel_Manager,Ichalkaranji,Maharashtra,11,11,0
240,5596467,26,17,single,rented,no,Mechanical_engineer,Parbhani,Maharashtra,4,13,0
265,7291839,41,1,single,rented,yes,Surgeon,Thane,Maharashtra,1,12,1
267,9933885,65,12,single,rented,no,Comedian,Vasai-Virar,Maharashtra,4,11,0
282,4855342,24,0,single,rented,no,Lawyer,Ichalkaranji,Maharashtra,0,13,0
283,2955958,35,17,single,rented,yes,Computer_operator,Amravati,Maharashtra,7,11,1
284,6360265,31,18,single,rented,no,Scientist,Mumbai,Maharashtra,3,11,0
323,3342757,21,18,single,rented,no,Surgeon,Amravati,Maharashtra,9,14,0
328,3261742,36,11,single,rented,no,Consultant,Bhusawal,Maharashtra,4,10,0
335,8593443,49,12,single,rented,no,Chef,Jalna,Maharashtra,9,14,0
348,9446738,55,2,single,rented,no,Design_Engineer,Mira-Bhayandar,Maharashtra,2,10,0
351,7660598,72,11,single,rented,no,Biomedical_Engineer,Navi_Mumbai,Maharashtra,11,13,1
358,7702379,76,6,single,rented,no,Biomedical_Engineer,Vasai-Virar,Maharashtra,6,10,0
376,6121261,23,15,single,rented,no,Civil_servant,Thane,Maharashtra,5,14,0
394,4131397,33,17,single,rented,yes,Lawyer,Pune,Maharashtra,13,12,0
395,5881185,47,4,single,rented,no,Microbiologist,Satara,Maharashtra,4,13,0
398,2653315,76,8,married,rented,no,Secretary,Vasai-Virar,Maharashtra,8,12,0
413,2530244,47,1,single,rented,no,Designer,Ambarnath,Maharashtra,1,13,0
425,7847940,64,16,single,rented,yes,Computer_operator,Malegaon,Maharashtra,10,11,1
427,6722440,47,7,single,rented,no,Graphic_Designer,Panvel,Maharashtra,7,11,1
429,7667495,24,3,married,rented,no,Petroleum_Engineer,Parbhani,Maharashtra,3,14,0
442,842278,30,18,single,rented,yes,Physician,Pimpri-Chinchwad,Maharashtra,3,14,0
444,2808095,24,11,married,rented,no,Industrial_Engineer,Nanded,Maharashtra,6,14,0
451,7891663,64,6,single,rented,no,Politician,Akola,Maharashtra,6,10,0
455,649902,54,15,single,rented,no,Technician,Aurangabad,Maharashtra,8,11,1
470,549476,47,1,single,rented,no,Fashion_Designer,Dhule,Maharashtra,1,10,1
487,5603227,62,9,single,rented,no,Politician,Ulhasnagar,Maharashtra,4,12,0
492,7884489,25,14,single,rented,no,Graphic_Designer,Dhule,Maharashtra,9,13,0
504,5714975,41,10,single,rented,yes,Petroleum_Engineer,Dhule,Maharashtra,10,14,0
509,714898,54,9,single,rented,yes,Fashion_Designer,Ulhasnagar,Maharashtra,9,12,0
537,5484464,58,2,single,rented,yes,Technical_writer,Nanded,Maharashtra,2,12,0
540,1322234,31,1,single,rented,yes,Official,Pimpri-Chinchwad,Maharashtra,1,14,0
547,16045,56,5,single,norent_noown,no,Technician,Thane,Maharashtra,5,10,0
550,5623318,31,13,single,rented,yes,Fashion_Designer,Thane,Maharashtra,13,11,0
575,9756211,45,8,single,rented,yes,Politician,Bhusawal,Maharashtra,8,10,1
580,4145727,27,11,single,rented,no,Fashion_Designer,Panvel,Maharashtra,6,12,1
589,5321383,40,2,single,rented,no,Aviator,Nagpur,Maharashtra,2,13,0
595,5335142,79,4,single,rented,yes,Consultant,Malegaon,Maharashtra,4,13,0
605,4370986,31,9,single,rented,no,Engineer,Mumbai,Maharashtra,4,12,0
613,2889220,34,18,single,rented,yes,Financial_Analyst,Navi_Mumbai,Maharashtra,13,14,0
626,333430,34,6,single,rented,yes,Army_officer,Kalyan-Dombivli,Maharashtra,6,11,0
637,4140213,45,6,single,rented,no,Flight_attendant,Parbhani,Maharashtra,6,14,0
652,1215004,25,5,single,rented,no,Firefighter,Jalna,Maharashtra,5,10,0
654,5203541,30,17,single,rented,no,Physician,Sangli-Miraj_&_Kupwad,Maharashtra,8,13,0
677,1112644,23,16,single,rented,yes,Official,Navi_Mumbai,Maharashtra,6,10,1
691,1990293,54,15,single,rented,no,Web_designer,Nagpur,Maharashtra,4,10,0
697,2707807,35,12,single,rented,no,Civil_engineer,Ambarnath,Maharashtra,4,13,0
708,7536082,29,1,single,rented,yes,Fashion_Designer,Bhiwandi,Maharashtra,1,11,0
723,1832053,63,14,married,rented,yes,Secretary,Nashik,Maharashtra,7,14,0
724,6239581,38,8,single,rented,yes,Air_traffic_controller,Thane,Maharashtra,8,13,1
727,9241049,41,8,single,rented,yes,Economist,Nanded,Maharashtra,6,13,0
761,6875625,77,7,married,rented,no,Surveyor,Parbhani,Maharashtra,7,11,0
794,6851175,23,14,single,rented,yes,Firefighter,Satara,Maharashtra,8,14,0
818,2010564,71,16,single,rented,yes,Microbiologist,Malegaon,Maharashtra,3,12,0
821,8035749,64,16,single,rented,no,Lawyer,Kalyan-Dombivli,Maharashtra,10,11,0
825,9809512,61,5,single,owned,yes,Industrial_Engineer,Ahmednagar,Maharashtra,5,11,0
827,3239090,68,17,single,owned,no,Comedian,Amravati,Maharashtra,13,11,0
848,9266153,67,14,single,rented,no,Computer_hardware_engineer,Dhule,Maharashtra,9,11,0
897,6381365,67,11,single,rented,no,Surveyor,Ulhasnagar,Maharashtra,4,12,0
940,422892,59,7,single,rented,yes,Biomedical_Engineer,Satara,Maharashtra,7,10,1
966,2740278,65,4,single,rented,no,Civil_engineer,Thane,Maharashtra,4,10,0
971,8306987,66,0,single,rented,no,Statistician,Thane,Maharashtra,0,12,0
981,6064204,62,14,married,rented,no,Lawyer,Thane,Maharashtra,10,10,0
982,4054318,74,3,single,rented,no,Web_designer,Sangli-Miraj_&_Kupwad,Maharashtra,3,11,0
989,3679290,25,9,single,rented,no,Psychologist,Pune,Maharashtra,6,11,0
1007,8729941,33,20,single,rented,no,Technical_writer,Satara,Maharashtra,11,11,0
1012,7921653,35,16,single,rented,no,Mechanical_engineer,Ichalkaranji,Maharashtra,6,14,0
1027,6381958,63,0,single,rented,yes,Politician,Thane,Maharashtra,0,12,0
1035,9238028,46,19,single,rented,no,Hotel_Manager,Latur,Maharashtra,3,14,0
1038,8978796,27,3,single,rented,no,Biomedical_Engineer,Ambarnath,Maharashtra,3,10,0
1045,7453204,59,13,single,rented,no,Librarian,Sangli-Miraj_&_Kupwad,Maharashtra,8,10,0
1082,7830578,43,15,married,rented,no,Web_designer,Panvel,Maharashtra,6,10,0
1088,4170819,59,18,single,rented,no,Surgeon,Solapur,Maharashtra,11,11,0
1108,7246361,55,19,single,rented,yes,Flight_attendant,Pimpri-Chinchwad,Maharashtra,3,10,0
1119,5311549,56,12,single,rented,no,Aviator,Dhule,Maharashtra,8,11,0
1125,6644494,61,9,single,rented,yes,Air_traffic_controller,Kalyan-Dombivli,Maharashtra,9,12,0
1134,5827839,43,1,single,rented,no,Computer_hardware_engineer,Ichalkaranji,Maharashtra,1,10,1
1143,9806306,78,15,single,rented,yes,Mechanical_engineer,Jalgaon,Maharashtra,4,12,0
1155,8688710,47,1,single,rented,no,Technician,Mira-Bhayandar,Maharashtra,1,10,0
1156,5713579,53,14,single,rented,no,Air_traffic_controller,Solapur,Maharashtra,10,11,1
1158,8854489,36,18,single,rented,no,Design_Engineer,Panvel,Maharashtra,13,14,1
1187,8185066,45,0,single,rented,yes,Industrial_Engineer,Solapur,Maharashtra,0,12,0
1192,6578390,48,17,single,rented,no,Microbiologist,Malegaon,Maharashtra,4,13,0
1193,5090840,78,12,single,rented,no,Flight_attendant,Nagpur,Maharashtra,5,11,0
1216,921080,45,8,single,rented,no,Chartered_Accountant,Sangli-Miraj_&_Kupwad,Maharashtra,4,11,0
1217,2557697,59,18,single,rented,no,Graphic_Designer,Ichalkaranji,Maharashtra,8,14,0
1223,9047999,50,1,single,norent_noown,no,Surveyor,Satara,Maharashtra,1,14,0
1225,5763958,63,7,married,rented,no,Chemical_engineer,Ambarnath,Maharashtra,7,12,0
1230,3835379,71,8,married,rented,no,Chef,Ahmednagar,Maharashtra,8,12,0
1239,6894894,27,7,single,rented,no,Librarian,Vasai-Virar,Maharashtra,7,13,0
1269,6925358,73,19,single,rented,no,Air_traffic_controller,Navi_Mumbai,Maharashtra,3,12,0
1276,3006135,59,18,single,rented,no,Chartered_Accountant,Solapur,Maharashtra,6,10,1
1292,652184,45,1,single,rented,no,Physician,Parbhani,Maharashtra,1,12,0
1296,2607516,76,5,single,rented,yes,Analyst,Nanded,Maharashtra,5,11,1
1299,1043413,33,16,single,rented,no,Hotel_Manager,Satara,Maharashtra,8,13,1
1303,7716276,50,16,single,rented,no,Army_officer,Bhusawal,Maharashtra,13,12,1
1310,6073350,68,5,single,rented,no,Hotel_Manager,Pune,Maharashtra,5,14,1
1340,6564624,56,12,single,rented,no,Economist,Akola,Maharashtra,12,14,0
1344,2779765,45,11,single,rented,no,Air_traffic_controller,Malegaon,Maharashtra,4,13,0
1374,6641682,42,0,single,rented,no,Industrial_Engineer,Ulhasnagar,Maharashtra,0,10,1
1380,5618559,59,9,married,rented,no,Police_officer,Bhusawal,Maharashtra,9,10,0
1381,1291411,56,6,single,rented,no,Chef,Mira-Bhayandar,Maharashtra,6,11,0
1386,5082643,66,3,single,rented,yes,Graphic_Designer,Pimpri-Chinchwad,Maharashtra,3,13,0
1400,6430245,23,16,single,rented,yes,Comedian,Dhule,Maharashtra,11,11,0
1413,7310061,37,10,single,rented,no,Web_designer,Chandrapur,Maharashtra,6,11,1
1418,3648949,65,6,single,rented,yes,Artist,Satara,Maharashtra,6,11,1
1419,9504715,51,14,single,rented,yes,Consultant,Akola,Maharashtra,14,10,0
1427,6432970,53,20,single,rented,no,Police_officer,Jalna,Maharashtra,6,13,0
1428,1298588,67,8,single,rented,no,Mechanical_engineer,Navi_Mumbai,Maharashtra,8,14,0
